,prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
7832,75537,8-14,104,Darth Maul™,blah,blahblah,Star Wars™,IT,36.5878,,,nan,,
7833,75535,8-14,101,Han Solo™,blah,blahblah,Star Wars™,IT,36.5878,,,nan,,
7834,75159,14+,4016,Death Star™,blah,blahblah,Star Wars™,IT,609.9878,84.0,4.5,Challenging,3.9,3.5
7835,75144,14+,1703,Snowspeeder™,blah,blahblah,Star Wars™,IT,256.1878,86.0,3.3,Challenging,4.3,4.1
7836,75060,14+,1996,Slave I,blah,blahblah,Star Wars™,IT,243.9878,201.0,3.9,Challenging,4.8,4.5
7837,75190,9-14,1416,First Order Star Destroyer™,blah,blahblah,Star Wars™,IT,195.1878,31.0,4.6,Average,4.8,4.4
7838,75189,9-14,1376,First Order Heavy Assault Walker™,blah,blahblah,Star Wars™,IT,182.9878,33.0,4.1,Challenging,4.4,3.9
7839,75191,9-14,825,Jedi Starfighter™ With Hyperdrive,blah,blahblah,Star Wars™,IT,146.3878,15.0,4.7,Average,4.7,4.3
7840,75188,9-14,780,Resistance Bomber,blah,blahblah,Star Wars™,IT,146.3878,23.0,4.7,Average,4.6,4.0
7841,75187,10-16,1106,BB-8™,blah,blahblah,Star Wars™,IT,128.0878,79.0,4.6,Average,4.8,4.6
7842,75102,8-14,717,Poe's X-Wing Fighter™,blah,blahblah,Star Wars™,IT,121.9878,71.0,4.7,Average,4.7,4.1
7843,75156,9-14,863,Krennic's Imperial Shuttle,blah,blahblah,Star Wars™,IT,115.88779999999998,39.0,4.2,Average,4.4,4.4
7844,75186,8-14,775,The Arrowhead,blah,blahblah,Star Wars™,IT,115.88779999999998,5.0,4.8,Challenging,4.8,4.4
7845,75180,8-14,836,Rathtar™ Escape,blah,blahblah,Star Wars™,IT,109.7878,3.0,5.0,Average,4.7,3.7
7846,75155,8-14,659,Rebel U-Wing Fighter™,blah,blahblah,Star Wars™,IT,103.6878,56.0,4.6,Average,4.6,3.9
7847,75179,8-14,630,Kylo Ren's TIE Fighter™,blah,blahblah,Star Wars™,IT,101.2478,22.0,4.5,Average,4.6,3.9
7848,75202,9-14,746,Defense of Crait™,blah,blahblah,Star Wars™,IT,97.5878,4.0,4.5,Easy,4.3,4.0
7849,75172,8-14,691,Y-Wing Starfighter™,blah,blahblah,Star Wars™,IT,91.4878,51.0,4.8,Average,4.7,4.4
7850,75185,8-14,557,Tracker I,blah,blahblah,Star Wars™,IT,91.4878,6.0,4.2,Challenging,4.3,4.4
7851,75201,8-14,370,First Order AT-ST™,blah,blahblah,Star Wars™,IT,73.1878,37.0,2.2,Easy,1.8,1.8
7852,75177,9-14,554,First Order Heavy Scout Walker™,blah,blahblah,Star Wars™,IT,73.1878,9.0,3.9,Challenging,4.0,3.8
